note_id,#diary_id,#author_id,#note_date,#places
"38994",#"130",#"125",#"1943-10-10",#"эстония->1,клайпеда->1,деревня корени->1,ширина->1,сураж->1,кенигсберг->1,город сураж->2,латвия->1,восточная пруссия->1,германия->1,витебск->1,то->1"
"38981",#"130",#"125",#"1943-06-03",#"зайцевое->1"
"38982",#"130",#"125",#"1943-06-10",#
"38978",#"130",#"125",#"1943-05-19",#"ловать->2,май->9,куда->1,чабрино->1,язвино->2"
"38979",#"130",#"125",#"1943-05-25",#"май->1,хотимля->1"
"38980",#"130",#"125",#"1943-05-31",#"шеино->1,май->2,деревня челнокова->1,зайцевое->1"
"38972",#"130",#"125",#"1943-02-25",#
"38973",#"130",#"125",#"1943-02-27",#
"38974",#"130",#"125",#"1943-02-27",#
"38975",#"130",#"125",#"1943-03-02",#"рам->1"
"38976",#"130",#"125",#"1943-04-22",#"равне->1,рам->1,чабрино->2,ловать->2"
"38977",#"130",#"125",#"1943-05-08",#"ловать->1,май->4"
"38966",#"130",#"125",#"1943-02-18",#
"38967",#"130",#"125",#"1943-02-19",#
"38968",#"130",#"125",#"1943-02-20",#
"38969",#"130",#"125",#"1943-02-21",#
"38970",#"130",#"125",#"1943-02-24",#
"38971",#"130",#"125",#"1943-02-25",#
"38958",#"130",#"125",#"1943-02-07",#
"38959",#"130",#"125",#"1943-02-08",#
"38960",#"130",#"125",#"1943-02-10",#
"38961",#"130",#"125",#"1943-02-12",#
"38962",#"130",#"125",#"1943-02-13",#"город торопец->1,юшиное->1"
"38963",#"130",#"125",#"1943-02-15",#
"38964",#"130",#"125",#"1943-02-16",#
"38965",#"130",#"125",#"1943-02-17",#
"38945",#"130",#"125",#"1942-12-28",#"глазов->1,который->1,октябрьский район->1"
"38946",#"130",#"125",#"1942-12-31",#
"38947",#"130",#"125",#"1943-01-01",#
"38948",#"130",#"125",#"1943-01-02",#"великое->1"
"38949",#"130",#"125",#"1943-01-03",#
"38950",#"130",#"125",#"1943-01-04",#
"38951",#"130",#"125",#"1943-01-11",#"помаз->1"
"38952",#"130",#"125",#"1943-01-13",#
"38953",#"130",#"125",#"1943-01-18",#
"38954",#"130",#"125",#"1943-01-20",#"нея->1"
"38955",#"130",#"125",#"1943-01-27",#
"38956",#"130",#"125",#"1943-01-29",#"куда->1,смоленская область->1"
"38957",#"130",#"125",#"1943-02-04",#
"38943",#"130",#"125",#"1942-12-01",#"ерофеево->1"
"38944",#"130",#"125",#"1942-12-18",#
"38940",#"130",#"125",#"1942-11-15",#"деревня ерофеево->1"
"38941",#"130",#"125",#"1942-11-21",#"ерофеево->1,куда->1"
"38942",#"130",#"125",#"1942-11-28",#"деревня ерофеево->1,ермак->1"
"38922",#"130",#"125",#"1942-10-02",#"калинин->1,мидинино->1"
"38923",#"130",#"125",#"1942-10-02",#"марвино->1"
"38924",#"130",#"125",#"1942-10-03",#"город торжок->1"
"38925",#"130",#"125",#"1942-10-04",#"негоново->1"
"38926",#"130",#"125",#"1942-10-05",#"калинин->1,город кувшиново->1,красная->1,кувшиново->1"
"38927",#"130",#"125",#"1942-10-06",#"харьковое->1"
"38928",#"130",#"125",#"1942-10-07",#"сахара->1,харьковое->1"
"38929",#"130",#"125",#"1942-10-09",#"куда->2,сахара->1,харьковое->1"
"38930",#"130",#"125",#"1942-10-11",#"харьковое->1"
"38931",#"130",#"125",#"1942-10-12",#"селижарово->1,кувшиново->1"
"38932",#"130",#"125",#"1942-10-13",#"селижарово->1"
"38933",#"130",#"125",#"1942-10-14",#"мартисовое->1"
"38934",#"130",#"125",#"1942-10-15",#"ермак->1"
"38935",#"130",#"125",#"1942-10-17",#
"38936",#"130",#"125",#"1942-10-23",#
"38937",#"130",#"125",#"1942-11-09",#"деревня захаркино->1"
"38938",#"130",#"125",#"1942-10-25",#"ивахново->1"
"38939",#"130",#"125",#"1942-11-06",#"деревня чернышовое->1,ерофеево->2"
"38920",#"130",#"125",#"1942-09-28",#"то->1"
"38921",#"130",#"125",#"1942-10-01",#"калинин->1,торжок->1"
"38916",#"130",#"125",#"1942-09-22",#
"38917",#"130",#"125",#"1942-09-23",#
"38918",#"130",#"125",#"1942-09-25",#
"38919",#"130",#"125",#"1942-09-27",#
"38914",#"130",#"125",#"1942-09-09",#
"38915",#"130",#"125",#"1942-09-18",#
"38908",#"130",#"125",#"1942-09-01",#
"38909",#"130",#"125",#"1942-09-02",#
"38910",#"130",#"125",#"1942-09-03",#
"38911",#"130",#"125",#"1942-09-07",#"город калинин->1"
"38912",#"130",#"125",#"1942-09-08",#
"38913",#"130",#"125",#"1942-09-09",#
"38907",#"130",#"125",#"1942-08-31",#
"38905",#"130",#"125",#"1942-08-29",#
"38906",#"130",#"125",#"1942-08-30",#
"38900",#"130",#"125",#"1942-08-06",#
"38901",#"130",#"125",#"1942-08-07",#
"38902",#"130",#"125",#"1942-08-11",#"калинин->1"
"38903",#"130",#"125",#"1942-08-25",#
"38904",#"130",#"125",#"1942-08-28",#
"38898",#"130",#"125",#"1942-08-04",#
"38899",#"130",#"125",#"1942-08-05",#
"38894",#"130",#"125",#"1942-07-31",#
"38895",#"130",#"125",#"1942-08-01",#"иваново->1,ярославль->1"
"38896",#"130",#"125",#"1942-08-02",#"бежецк->1,бологое->1,волга->1,калинин->1,вышний волочек->1,ярославль->2,лихославль->1"
"38897",#"130",#"125",#"1942-08-03",#"калинин->1"
"38885",#"130",#"125",#"1942-07-07",#"нея->1"
"38886",#"130",#"125",#"1942-07-14",#
"38887",#"130",#"125",#"1942-07-20",#
"38888",#"130",#"125",#"1942-07-21",#
"38889",#"130",#"125",#"1942-07-23",#
"38890",#"130",#"125",#"1942-07-27",#
"38891",#"130",#"125",#"1942-07-28",#
"38892",#"130",#"125",#"1942-07-29",#
"38893",#"130",#"125",#"1942-07-30",#"иваново->1"
"38879",#"130",#"125",#"1942-06-18",#
"38880",#"130",#"125",#"1942-06-23",#
"38881",#"130",#"125",#"1942-06-25",#"город вичуга->1,май->1"
"38882",#"130",#"125",#"1942-07-01",#
"38883",#"130",#"125",#"1942-07-03",#
"38884",#"130",#"125",#"1942-07-05",#
"38864",#"130",#"125",#"1942-05-08",#
"38865",#"130",#"125",#"1942-05-11",#
"38866",#"130",#"125",#"1942-05-15",#
"38867",#"130",#"125",#"1942-05-16",#
"38868",#"130",#"125",#"1942-05-15",#
"38869",#"130",#"125",#"1942-05-24",#
"38870",#"130",#"125",#"1942-05-26",#
"38871",#"130",#"125",#"1942-05-27",#
"38872",#"130",#"125",#"1942-05-28",#
"38873",#"130",#"125",#"1942-06-02",#
