топтаться	0.6920069456100464
эмоция 	0.6637054681777954
пытаться	0.68051677942276
свадебный	0.8638777732849121
узбекский	0.8063457012176514
удивительный	0.7349203824996948
обходительный	0.91826331615448
грубить	0.8139603137969971
парень	0.7936689853668213
оформлять	0.771744966506958
двойственный	0.7623862028121948
уединенный	0.7812647819519043
вкусно 	0.8768585920333862
приличный 	0.7294449806213379
выступать	0.803247332572937
классный	0.7751631736755371
девушка	0.7332144975662231
неплохой	0.7660616636276245
изумительный	0.7288945317268372
обширный	0.7844420671463013
эмоция	0.8041191101074219
отличный 	0.8143104314804077
великолепный	0.9011014699935913
улыбчивый	0.8620967864990234
замечательный	0.9193854331970215
официантка	0.9295637607574463
чудесный	0.8754631876945496
приличный	0.747046947479248
оригинальный	0.7878652215003967
задавать	0.7452880144119263
персонал	0.6840554475784302
обалденный	0.856877326965332
японский	0.8618701100349426
отрицательный	0.8353770971298218
сытно	0.7412680387496948
айс	0.8547766208648682
 quot оставлять	0.8447505235671997
девочка	0.7632406949996948
неплохой 	0.7382453680038452
умничек 	0.8179518580436707
хостесса	0.8384400606155396
великолепный 	0.7925931215286255
достойный	0.7188163995742798
спасибо 	0.9197913408279419
стараться	0.6944655179977417
внимательный 	0.9066131114959717
разговаривать	0.6776796579360962
сытно 	0.6907771825790405
вкусный	0.6726688146591187
воспоминание	0.7388355731964111
демократичный	0.7732093334197998
средний 	0.7262082099914551
мексикан 	0.8000145554542542
разнообразие	0.7820334434509277
молодец 	0.9052761793136597
китайский	0.8618701100349426
марципановый	0.905036449432373
бейдж	0.8359706401824951
дружелюбный	0.8277588486671448
бармен	0.7910684943199158
качественный	0.7928731441497803
вежливый 	0.6196733117103577
отменный	0.890387773513794
отменный 	0.9085695147514343
громко	0.7991313934326172
окраина	0.8437836766242981
орать 	0.795141875743866
положительный 	0.7921003103256226
коллектив	0.8140677213668823
потрясать 	0.8137527704238892
организованный	0.814777672290802
благодарный	0.7663813829421997
посредственный	0.7492220997810364
разнообразно 	0.7936636805534363
улыбаться 	0.922023355960846
отличный	0.8337445855140686
внимательный	0.9496769905090332
шикарный	0.8071366548538208
отвечать 	0.8757450580596924
 320р 	0.8974075317382812
поблагодарить	0.8917460441589355
хата 	0.8119081258773804
красивый 	0.7971787452697754
доброжелательно 	0.7882627844810486
официант 	0.8913377523422241
управляющий	0.8239459991455078
тетка quot 	0.8579500913619995
гауд	0.8615511655807495
благодарность 	0.8177202939987183
восхитительный	0.8561491966247559
доброжелательный	0.8322716951370239
спокойный	0.8013021945953369
вкусно	0.6726688146591187
мальчик	0.8373234272003174
стильный	0.7736427783966064
музыка 	0.8044183850288391
официант	0.9295637607574463
противоречивый	0.6859909296035767
душевный	0.7571501731872559
изумительный 	0.8246851563453674
вопрос	0.775318443775177
прекрасный	0.8337445855140686
умеренный	0.9062830209732056
соня 	0.8386867046356201
прекрасный 	0.75577312707901
периодически	0.7783337831497192
четко 	0.8006613254547119
обычный	0.7183781862258911
классный 	0.8110056519508362
умница 	0.7972073554992676
потрясать	0.8704146146774292
вежливый	0.966520369052887
официантка 	0.8398723602294922
восторженный	0.8006937503814697
персонал 	0.901618480682373
менеджер	0.9130322933197021
превосходный	0.890387773513794
официанка	0.8197659254074097
мильфей	0.9013227224349976
играть	0.8647990226745605
сервис 	0.8351969122886658
сервис	0.924522876739502
обслуживать 	0.8367207646369934
правильный	0.7164248824119568
подготовка	0.837232232093811
петь	0.8107337951660156
признательность	0.9064958095550537
обслуживание 	0.6938691139221191
нормальный 	0.7419213056564331
витражный	0.7562072277069092
отвратительный 	0.7900761961936951
позитивный	0.7359068989753723
тихий	0.8123181462287903
отвратительный	0.6618795394897461
кавказский	0.8317864537239075
фоновый	0.8343002796173096
клиент	0.6922533512115479
мероприятие 	0.8212069869041443
благодарить	0.7934702634811401
Вю	0.8025203347206116
ужасный	0.8870806097984314
кофейня	0.8506467342376709
администратор	0.7910684943199158
приемлимый	0.8738534450531006
благодарность	0.8504597544670105
дешевый 	0.6636263132095337
итальянский	0.8774502873420715
разумный	0.8577909469604492
разнообразный 	0.8807436227798462
милый 	0.8151751756668091
ненавязчивый 	0.9099071025848389
суша бар	0.8637607097625732
ребята	0.8005655407905579
замечательный 	0.8232806921005249
плохой 	0.7694641351699829
грузинский	0.8277366161346436
манта 	0.9030610918998718
бармен 	0.8731943368911743
вопрос 	0.7611303925514221
ачма	0.9102078676223755
купчино	0.8289527893066406
подстреливать	0.8275243043899536
изменяться	0.6461031436920166
администратор 	0.9015468955039978
потрясающий	0.8166786432266235
басс	0.8030914664268494
супер 	0.8892845511436462
хромать	0.7952547073364258
гуманный	0.9202138781547546
объяснять	0.772199809551239
испортиться	0.789169430732727
пепперони 	0.8331505060195923
атмосферный	0.8136391639709473
предупредительный	0.8956059217453003
симпатичный	0.7605154514312744
хороший 	0.6575229167938232
вежливо	0.8785359859466553
приветливый	0.8494861721992493
громкий	0.7787424921989441
улыбаться	0.729820966720581
выражать	0.9360597133636475
бедненький 	0.874190092086792
выключать	0.791334867477417
приятный 	0.7654162645339966
уютный 	0.8550803661346436
девушка 	0.8934667706489563
вкусный 	0.6586909294128418
положительный	0.8353770971298218
обстоятельно 	0.7131334543228149
бейджик	0.8556727766990662
впечатление 	0.8201932907104492
негативный	0.8835547566413879
достойный 	0.771605372428894
бегать	0.738295316696167
врубать	0.7880897521972656
живой	0.8647990226745605
осадок	0.6949169635772705
