	Extra_Miss_Subst	Gov_Constr	Fusion_Transfer	level	constr	gender	language	prep_orig	case_orig	prep_corr	case_corr
321	Miss	Gov	-	B1	Verb	ж	FL	-	G	у	G
322	Subst	Constr	-	B1	Verb	ж	FL	с	I	из	G
323	Subst	Gov	-	B1	Verb	м	FL	с	G	из	G
324	Subst	Gov	-	B1	Verb	ж	FL	с	G	по	D
325	Subst	Gov	-	B1	Noun	ж	FL	с	G	из	G
326	Extra	Gov	Transfer	B1	Verb	ж	FL	с	I	-	I
327	Extra	Gov	-	B1	Verb	ж	FL	с	I	-	I
328	Extra	Gov	Fusion	B1	Verb	ж	FL	о	L	-	A
329	Extra	Gov	-	B1	Verb	м	FL	с	I	-	I
330	Miss	Gov	-	B1	Verb	м	FL	-	N	на	L
331	Miss	Gov	-	B1	Verb	ж	FL	-	G	с	G
332	Extra	Gov	-	B1	Verb	ж	FL	в	L	-	A
333	Subst	Constr	-	B1	place	м	FL	в	L	на	L
334	Extra	Gov	-	B1	Verb	ж	FL	в	L	-	D
335	Subst	Gov	-	B1	Noun	ж	FL	от	G	по	D
336	Subst	Gov	-	B1	Verb	ж	FL	в	L	к	D
337	Subst	Gov	-	B1	Verb	м	FL	у	G	от	G
338	Subst	Gov	-	B1	Noun	м	FL	в	L	по	D
339	Subst	Gov	Transfer	B1	Noun	ж	FL	в	G	по	D
340	Subst	Gov	-	B1	Verb	ж	FL	на	L	по	D
341	Extra	Constr	Transfer	B1	time	ж	FL	в	Adv	-	Adv
342	Subst	Constr	-	B1	place	ж	FL	в	L	из	G
343	Extra	Gov	Transfer	B1	Verb	ж	FL	для	D	-	D
344	Extra	Gov	-	B1	Noun	м	FL	за	G	-	G
345	Extra	Gov	Transfer	B1	Verb	ж	FL	в	L	-	I
346	Subst	Gov	-	B1	place	ж	FL	на	A	в	L
347	Subst	Gov	-	B1	Verb	ж	FL	на	I	по	D
348	Subst	Gov	-	B1	Adv	ж	FL	на	L	для	G
349	Subst	Gov	-	B1	Verb	ж	FL	на	L	в	L
350	Subst	Gov	-	B1	Verb	ж	FL	на	L	в	L
351	Subst	Constr	-	B1	time	ж	FL	на	A	в	A
352	Miss	Gov	Transfer	B1	Noun	ж	FL	-	G	с	G
353	Subst	Gov	-	B1	Verb	ж	FL	на	A	в	A
354	Subst	Gov	-	B1	Verb	ж	FL	на	A	в	A
355	Subst	Constr	-	B1	place	ж	FL	на	L	в	L
356	Subst	Gov	-	B1	Noun	ж	FL	на	L	в	L
357	Subst	Gov	Fusion	B1	Verb	ж	FL	на	A	в	L
358	Extra	Gov	-	B1	Verb	ж	FL	от	G	-	I
359	Subst	Gov	Transfer	B1	Verb	ж	FL	по	D	из	G
360	Extra	Gov	-	B1	Verb	ж	FL	по	D	-	I
361	Subst	Constr	-	B1	Noun	ж	FL	в течение	G	по	D
362	Subst	Gov	-	B1	Noun	м	FL	в	L	по	D
363	Subst	Gov	-	B1	Verb	ж	FL	от	A	на	A
364	Miss	Gov	-	B2	Verb	ж	FL	-	L	в	L
365	Miss	Gov	Transfer	B2	Verb	ж	FL	-	N	за	I
366	Miss	Gov	Transfer	B2	Verb	ж	FL	-	N	за	I
367	Miss	Gov	-	B2	Noun	ж	FL	-	Adv	с	I
368	Extra	Gov	-	B2	Verb	ж	FL	до	Adv	-	Adv
